Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,19864,21496,24276,25382,26926,26999,26840,28879,25079,25635,26844,28900
2006,22218,22018,28352,28563,28360,27735,23611,25673,23303,24464,25889,33417
2007,21811,24638,28980,28662,30819,29394,28364,30639,24932,26821,26985,33761
2008,16935,24190,27404,31448,31781,26155,28977,30931,18506,25475,19762,21626
2009,14294,15805,17489,19362,22993,20849,21253,23443,19175,20620,18272,23617
2010,15409,17971,21670,21111,22092,23331,23390,23965,23112,23222,22883,27600
2011,18656,19033,24753,23538,24742,25439,26120,23924,25749,27288,26271,32545
2012,19739,49144,29806,26793,28321,27720,27152,22643,26660,32339,36461,43855
2013,20195,25613,32349,29011,31174,33645,29993,30546,28874,33274,36327,43981
2014,20796,23876,35762,29592,36331,35577,32220,32220,29805,35902,36028,48141
2015,22209,28921,40139,32428,36836,38350,32161,32864,31022,33526,36447,39634
2016,21320,25337,34795,29747,33612,33769,30551,30500,29416,27971,30696,37493
2017,21219,24712,36002,26105,29878,33372,26363,28001,29307,26877,32087,38864
2018,21953,26573,35842,27216,30888,33550,26278,27589,29369,26428,31858,37154
2019,20559,26237,35997,26437,29930,34862,25842,29416,30972,28402,34280,38056
2020,23710,27204,16474,10123,22497,23624,27524,24375,25514,36197,29732,41370
