Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,12844,14409,19546,20390,19613,19728,22731,21807,19597,20204,19820,33042
2006,13840,18765,23488,22928,23645,22680,23483,22881,22173,22899,23678,29435
2007,17828,17840,22497,22112,23131,21224,19955,22895,23957,25295,24103,28926
2008,19680,19701,22090,24274,26264,23620,24403,21916,21401,17166,17236,22000
2009,12699,15999,17790,16204,16514,16883,18358,19889,18603,19307,18412,21244
2010,15444,15835,20708,18916,19879,19582,18616,20130,21097,19454,19256,22039
2011,17631,16660,22971,19624,20798,23132,21065,20728,23897,24449,28255,28006
2012,21726,39358,25508,25066,24359,25388,22294,23439,25980,26642,32829,31372
2013,24239,24051,27104,26157,27359,27162,26423,27144,27474,32620,37345,36690
2014,24413,24971,30091,29329,29570,29380,30757,30291,30271,32622,37925,38270
2015,26616,25749,32883,32432,33189,31260,30130,28571,30428,31766,33108,38588
2016,26814,25150,32115,32291,34877,31965,32288,31909,30105,31801,33490,37057
2017,27900,27383,32352,29490,30290,32328,28849,29183,32337,31541,34242,39416
2018,27603,27894,31484,27300,30187,29125,23058,24192,30715,29569,32979,36254
2019,23804,24447,30647,25716,25716,29275,27546,30218,32002,32130,35954,35279
2020,24445,31650,19170,12112,27901,29492,29675,26377,28576,32153,26411,36746
