Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,269125,296364,409418,368088,372586,533652,505727,338888,336487,245904,269083,375601
2006,286595,288853,348968,331474,329119,395217,395262,352411,325729,290221,285560,324413
2007,237351,300624,333899,299061,361590,307784,306078,373349,324110,296299,252379,311382
2008,243955,260800,270650,248746,259587,253859,230846,303268,279054,166478,151216,217012
2009,126290,124879,153240,170492,189561,173012,186902,244468,154518,175458,149777,205755
2010,145388,140873,187335,183005,222841,194117,198840,184381,172207,177544,162789,218520
2011,178305,206272,205989,231910,220580,214758,214310,217824,206432,186173,179621,233232
2012,167431,417232,230396,212844,244587,248081,200526,239598,209650,195096,185812,244706
2013,194181,222832,245204,237027,252199,264176,233110,275080,186561,225524,211409,229382
2014,171105,221610,255539,253628,283848,266403,254643,271166,222209,226066,224690,273024
2015,201686,230490,248790,267764,292053,258091,271551,269170,250129,261680,227987,288314
2016,204970,226778,250864,258054,236644,254029,266078,255259,248142,257173,251249,317024
2017,194930,236376,255010,243285,236020,241898,225129,274361,277870,250817,244073,306968
2018,197710,220905,296341,244732,245002,252139,218930,246296,228265,265186,254515,264721
2019,218813,210055,236314,242199,267851,223647,242527,271627,223125,241882,250203,241922
2020,200218,255217,157005,88377,196377,206204,232833,206973,224210,259817,213421,296938
