Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,81504,98130,128548,135597,122171,133416,143217,156173,121163,110895,105860,132800
2006,98394,106644,128806,139124,141810,126449,151804,151253,116226,110624,106446,131778
2007,100790,110026,143392,126419,145367,130925,140599,158342,127200,114799,111431,131792
2008,98511,115397,133734,135000,167997,142539,138733,146855,97626,85863,76233,86085
2009,71031,71575,88379,101029,98344,100420,114690,161439,77229,85502,74003,107143
2010,67479,80671,108262,113697,117173,106627,112437,108729,97359,98801,89617,129616
2011,76269,98059,133650,124799,90773,83892,80502,82320,89531,98333,83925,105230
2012,83009,220314,126999,122012,133997,124808,116944,131321,117841,106433,116580,132774
2013,93626,107987,136038,130999,140013,136915,141439,166429,105563,114538,116507,135255
2014,91631,100405,133318,132555,152603,129023,135908,167038,118223,121333,121814,137281
2015,102184,105466,126293,130068,154593,134397,146324,155491,133750,131651,115441,150893
2016,100497,118986,138221,148829,147108,138715,152799,149571,133655,126161,122924,160387
2017,106380,121686,137227,138116,148414,139793,150980,144208,142722,127353,133156,149317
2018,104542,115557,142122,125701,153069,146563,138602,147906,132668,122182,120534,155115
2019,106139,115139,148509,125775,145532,136101,141296,173993,113925,131443,133952,136566
2020,101625,120006,77153,57751,120977,114774,115450,135925,127058,126987,102614,136467
2021,92225,106328,0,0,0,0,0,0,0,0,0,0
