Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,46163,54394,65785,68116,65919,70146,70483,65933,61618,50044,53474,61788
2006,48318,54733,67771,68832,69008,71951,73634,69749,57261,50576,50620,67369
2007,50245,58012,69551,65144,72379,75656,70201,71961,57301,55417,56060,70555
2008,42807,53078,67667,69346,77462,78325,68724,66195,42148,36303,34403,38681
2009,46608,52694,65445,59558,62997,63788,74898,100665,53134,53495,46002,54845
2010,52626,58056,77524,74059,80476,83111,89525,86068,76627,73855,67323,75050
2011,65003,76522,106052,108828,107526,104256,105065,99693,87660,90092,86617,94155
2012,78211,174953,127233,109814,118790,115139,110095,111127,108130,92723,94542,98613
2013,80015,93816,117431,110871,120785,115543,115009,118116,93105,93309,101416,96636
2014,81016,90221,121782,119783,130994,118051,119320,124670,96638,94775,95908,110094
2015,82804,96535,133790,121291,126043,121639,127324,130909,113835,110049,105560,117749
2016,83316,102746,133589,118721,133932,130083,134972,126263,115830,111482,115011,125658
2017,82129,95692,118699,116408,118518,110650,110466,107633,109474,97407,101513,106633
2018,76871,86767,112183,106648,125518,120623,104864,111406,108862,109248,102601,113149
2019,79396,90546,118442,108410,128496,122890,112331,126224,98129,109036,113272,117449
2020,84498,106777,81500,66479,104696,97090,111413,116736,111437,114533,104003,123152
2021,85269,98527,0,0,0,0,0,0,0,0,0,0
