Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,17060,20806,26153,22249,26657,22063,24820,22135,19920,19505,17817,19156
2006,18176,23580,25514,22385,27322,23727,25963,22311,20261,18843,20792,19912
2007,19265,22067,37742,21060,26788,25761,25856,24762,25095,22201,20580,24933
2008,21212,23548,32929,23760,27921,23771,22418,23680,16169,16442,14134,17865
2009,15420,16401,21974,16139,16718,13729,19032,26542,14234,15068,14255,18165
2010,15694,17054,23193,18935,22605,18238,20732,19739,18580,18013,15304,21489
2011,14267,19387,30905,20638,17875,19307,20783,22632,25521,18326,18432,22353
2012,23996,51302,32376,21506,20357,19911,19318,22234,24135,18622,21691,27253
2013,21319,24936,32028,19894,24270,22496,24977,28106,22463,19738,20754,22964
2014,18813,24341,34903,22434,29731,26208,29238,31305,23980,18798,21242,24808
2015,20271,25650,32123,24123,29606,27224,27157,29938,25616,25451,22732,29294
2016,19703,21544,23396,26192,27873,26188,27915,26109,24889,22711,22041,28754
2017,21698,22824,24549,24164,26047,22342,27089,25846,25737,20811,21469,26893
2018,24962,25731,33302,23056,29980,26893,24125,25816,21257,18673,20660,25870
2019,20045,23852,26934,19702,25192,22828,23292,27482,18838,19520,24374,26491
2020,23621,28385,15664,10940,24933,25326,24085,26089,24237,22736,21752,31308
2021,25259,21544,0,0,0,0,0,0,0,0,0,0
