Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,86853,94889,120581,100852,104899,103402,117674,103310,102593,81571,86107,100926
2006,83360,92217,113345,97561,98488,85158,96910,100802,98627,84383,85271,101685
2007,92024,94944,123655,83171,106713,105226,98224,108545,106370,94227,88667,95459
2008,85831,95325,117671,84733,111304,83342,101045,117693,66943,64522,51701,66681
2009,58614,58733,71254,51109,71841,62660,76694,112125,60105,63982,59213,76761
2010,66742,74208,100902,67701,88501,68768,87985,81120,79166,74884,75672,98604
2011,77561,99263,128701,79607,83716,80239,92573,99526,98767,86724,88913,105959
2012,84024,222934,143477,76609,97369,97648,102565,102764,97443,83666,99771,103403
2013,85578,105687,143012,92308,119172,109421,114271,125779,90869,95770,112599,116181
2014,95337,121337,158132,110476,143203,115664,127801,141174,108513,109316,109721,124133
2015,110600,125969,154849,118064,144354,132191,139913,141640,129338,123473,113855,147187
2016,112998,139081,174637,133535,142521,148576,140365,131900,134739,121157,122032,160126
2017,118776,146664,180598,130373,146900,150953,136320,116490,148362,130393,144594,146727
2018,132018,142903,176854,95754,144248,156245,118742,120792,130524,117964,118201,157706
2019,109452,128102,170367,102661,141733,135821,107493,135369,108966,110935,101135,114696
2020,94296,123865,75006,36256,74864,78491,86262,76678,101039,87004,71458,99432
