Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,139423,184674,211404,204961,212773,218546,238206,184545,173511,162959,158362,187599
2006,154105,188969,214352,188449,189249,184080,148469,178959,166600,157297,162969,189107
2007,155558,173879,205469,191896,198042,181721,136478,166297,158910,142850,159813,189771
2008,135990,148959,165107,146434,146966,115067,97000,109259,106518,93609,84021,88681
2009,61674,83672,100566,76395,78436,67692,88195,92074,61399,65357,62601,86177
2010,57062,84397,92606,95683,105787,92467,93300,99585,100070,90203,74152,100702
2011,70118,95102,121230,116343,113604,118591,112126,130119,127334,114512,107172,138019
2012,101149,264262,163381,141165,151041,144811,126089,145472,142041,126185,122565,152367
2013,117431,139015,171606,156698,166596,156686,140102,165552,143017,140083,142275,160707
2014,127183,154866,193912,178652,194421,171086,167667,198379,169890,170480,170716,193261
2015,144914,163586,197261,189027,202227,185035,178027,201672,193019,195545,175974,217527
2016,155037,182879,213190,199631,204452,197073,180727,197714,194068,177913,162207,194313
2017,153107,169413,191566,177441,194305,188308,162540,177136,175385,154513,156060,173373
2018,133700,166834,216948,184149,214684,202264,170970,193718,199819,177391,181310,196520
2019,136082,162036,200307,172900,218702,206083,185870,208170,170995,178638,185252,178638
2020,145109,187863,113612,66073,146834,154175,177901,158133,171313,168482,138395,192553
