Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,140954,163059,203223,210466,201473,194875,215675,205362,178417,173086,169665,203279
2006,160904,167218,217564,220338,236224,223438,241945,240540,223171,189395,196892,228621
2007,173033,187505,242870,210643,269212,245880,224214,233610,213124,197672,197242,224724
2008,172059,179390,217729,217700,257404,193234,197424,212533,144260,152100,130287,141949
2009,118287,109582,132802,136689,152583,131653,174872,225088,126015,152165,133700,187880
2010,98796,100027,186863,157439,162813,141004,169224,148388,146911,145674,129317,177488
2011,115856,141846,176222,159540,108387,110937,130802,129483,121451,134046,135960,177883
2012,124166,187785,201997,177082,201990,174409,162692,186059,170094,153327,159722,192072
2013,155987,164677,203131,174147,205489,193030,191444,229202,160050,167497,176512,189313
2014,145258,158078,214625,198019,241331,200387,214457,242760,164927,179350,182329,214235
2015,168371,179571,225001,202230,241241,208856,216096,223412,193614,203267,188905,237760
2016,160774,187399,219173,210440,208657,197568,213551,212487,197260,186295,196645,243229
2017,143048,174339,215224,201926,217829,201951,222146,227625,226632,188433,191617,222979
2018,167056,182183,222782,192348,215321,209601,208770,223055,203098,191101,190423,220908
2019,156021,172748,214947,183866,222174,202352,209204,248334,169656,188787,207857,207372
2020,165865,194152,135730,71645,159210,167174,169484,191841,197124,205349,205765,249601
2021,166232,183051,0,0,0,0,0,0,0,0,0,0
