Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,19279,20203,25073,27446,24745,27525,30383,31990,31102,25840,28169,37131
2006,24167,22965,29914,30104,31345,29356,29543,30169,27917,22206,26397,32259
2007,23997,22998,25789,27557,30959,30159,31838,27854,26880,24980,27118,29040
2008,21183,22241,27772,27452,30511,30730,27243,27851,24719,23540,21321,25795
2009,18035,18648,22956,24240,28029,26646,27545,33236,25569,24808,23457,29938
2010,25544,25679,32291,33847,34089,31431,34008,33814,29851,30626,31206,36731
2011,28300,30997,39306,41380,43043,40709,40653,37314,37986,38821,38544,45355
2012,38940,70408,50546,52380,52963,53346,51151,55170,51126,48362,52189,60541
2013,42039,44746,53866,49175,53887,52976,51225,56549,47009,43611,47356,53299
2014,35787,40306,53796,49451,52323,48852,48544,55630,42747,48045,52003,55827
2015,41253,39743,50720,51241,56626,52105,52931,55161,47032,51344,44143,54623
2016,35703,37046,48819,49503,51471,46602,50869,54072,46209,47006,52419,64535
2017,41239,42508,50882,51729,53908,51276,49700,56397,56341,51777,53907,61108
2018,43893,46493,57474,53486,55531,53304,53761,57245,55007,49873,49544,58898
2019,42746,44092,62173,51351,59604,56339,55514,61579,48290,52691,56162,58460
2020,41716,53994,32710,21053,46784,49128,51881,46116,49961,58765,48275,67162
