Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,5697,5749,6784,6077,6158,7175,6585,5920,5007,4774,5077,5849
2006,5015,4931,6590,5393,5949,6127,5720,5966,4573,4117,5041,5000
2007,4745,4558,6290,4660,5220,5896,5995,5826,4594,4283,4583,5544
2008,4496,4467,5254,3650,3545,3276,2700,2218,2154,1937,2420,2867
2009,1321,1844,3266,2449,3415,4339,3675,2595,2489,2449,2683,3720
2010,1860,2026,2948,2009,2442,2868,2626,2785,2588,2527,2752,3379
2011,3017,3492,4476,4487,5363,5301,4054,3853,3802,3802,3725,4186
2012,3381,8668,5480,3929,5061,5529,4720,5097,4122,3466,4990,5184
2013,4202,4187,4476,3617,5411,5837,5023,4474,3508,3187,3603,4231
2014,3397,3564,5319,4030,4791,5525,4411,4395,7102,3499,3016,4449
2015,3458,3696,5352,4210,4636,5360,5214,5424,5064,6958,6640,8909
2016,3992,4973,6437,5792,5121,7702,7952,6904,5130,5941,7333,9897
2017,3448,4632,5349,7111,6197,7295,6967,7994,7900,7008,7854,9679
2018,5560,6283,8463,8333,9338,9868,8622,8970,8715,7627,8181,8826
2019,5854,6635,9569,8367,9761,9934,8795,9187,9323,8807,9635,12360
2020,6157,7841,5487,3866,9519,10385,9697,10378,10274,10691,11591,14244
2021,8151,9164,0,0,0,0,0,0,0,0,0,0
