Brand,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021
Acura,39239,41830,44451,36385,37382,39046,44572,28531,27458,39664,41329,20057
Alfa Romeo,6473,5895,5640,4286,4751,4310,4947,3702,3735,5056,6092,0
Audi,57890,59478,55903,48115,53325,57031,65640,41371,34839,47896,62519,0
Bentley,-,-,-,-,-,0,0,0,0,0,0,0
BMW,79551,71679,85949,73888,82551,75987,92399,62152,50956,68439,98750,0
Buick,52770,45907,51742,51865,55373,50614,49074,33870,35521,49170,44188,0
Cadillac,39219,37290,41465,35996,39739,39962,40553,30323,23297,32966,42909,0
Chevrolet,511719,483877,530690,451742,486884,505913,497500,429529,330381,449134,520989,0
Chrysler,42397,38526,38808,31591,32831,29544,33006,29945,13857,31869,34614,0
Dodge,133962,108795,99596,110517,117582,104146,90643,88656,43756,71935,62979,0
Fiat,4271,3799,3437,2214,2889,2361,1740,1128,1339,1102,735,0
Ford,651366,581928,578262,557884,613098,548070,565373,489051,411035,521530,507579,289006
Genesis,2900,1647,1031,4203,5805,4902,6327,3955,3585,3745,5099,5225
GMC,138165,126417,160525,125579,151701,140790,146880,118718,101759,132746,162090,0
Honda,386094,377346,353380,333402,370026,390168,357389,270253,266044,338769,324739,178496
Hyundai,183271,165006,186336,147585,185743,173028,182415,130875,139378,170828,178844,91457
Infiniti,31283,33079,44031,34315,28743,24876,29774,25556,16097,17368,20482,0
Jaguar,6738,6389,9307,10222,6060,6150,8573,7266,4320,4700,5500,0
Jeep,266917,251172,227033,212804,243477,245474,221537,182667,176713,222211,213715,0
Kia,166618,158479,137631,136596,168248,158754,151015,137945,125302,165013,157745,87114
Land Rover,20533,20354,27010,25028,21095,20516,28097,21936,14500,15899,27698,0
Lexus,70783,78622,84686,66791,68944,73816,88561,56345,50458,75285,92954,41067
Lincoln,27807,25011,28307,24874,25941,27937,33355,25562,21280,27555,31008,16405
Maserati,390,-,-,-,-,0,0,0,0,0,0,0
Mazda,79929,71198,65203,70831,67722,69612,70385,67670,61199,74411,75796,46803
Mercedes-Benz,86283,77656,98485,78667,80463,89636,103363,75265,69505,84628,95310,0
Mini,12103,11557,9491,8905,8678,10243,8339,5236,5288,8974,8549,0
Mitsubishi,31555,26071,24676,42070,29030,24474,25475,35563,12197,24857,14769,0
Nissan,333409,310908,325164,331536,322442,302478,271517,232048,161317,221754,222643,0
Porsche,15496,13205,14576,15024,15233,14805,16506,11984,12193,15548,17561,0
Ram,146687,156320,180707,137013,196155,179200,190655,140486,127682,175174,181295,0
Smart,329,309,317,231,244,130,0,0,0,0,0,0
Subaru,173157,180558,176717,156754,182771,185804,174788,130591,136519,169446,175382,94700
Tesla,28462,68350,77525,30600,53300,54700,56525,52800,36800,139300,64002,0
Toyota,546487,556301,517746,476925,539448,553378,515455,439402,347571,483164,567761,308216
Volkswagen,88935,93330,87836,85872,98736,93547,85167,75065,69933,84514,94122,0
Volvo,27539,26307,24634,22058,28062,27305,30802,19485,23770,30349,36526,17315
