Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura ILX,805,1047,1289,1152,1351,1312,1224,1439,1078,1430,1253,1305
Acura NSX,31,22,26,23,30,19,10,25,16,15,11,10
Acura RLX,119,127,135,151,91,50,42,38,46,68,80,72
Acura TLX,1669,2219,3141,2096,2235,1812,1761,2252,1741,2188,2587,2847
Alfa Romeo 4C,7,16,18,27,14,9,12,13,11,6,6,6
Alfa Romeo Giulia,531,646,858,746,797,768,668,748,614,767,795,767
Audi A3,664,823,1182,681,947,831,522,705,863,942,995,1263
Audi A4,1691,1436,2652,1860,2223,2292,2579,2924,2392,2178,2056,2152
Audi A5,1651,1603,2224,1685,2251,2160,2017,2085,1646,1705,1805,2191
Audi A6,1889,1506,1963,1374,1427,1743,1246,1247,770,1252,1264,2126
Audi A7,620,474,672,441,526,409,289,331,199,294,246,454
Audi A8,284,242,261,187,190,166,114,164,109,245,465,536
Audi R8,42,55,52,30,27,62,37,35,67,61,54,52
Audi TT,11,77,122,114,153,159,165,123,112,108,91,89
BMW 2-Series,578,738,746,581,253,717,662,617,863,690,805,765
BMW 3-Series,1226,2379,4620,3642,4364,4927,3392,3984,4303,3462,6283,5245
BMW 4-Series,2842,2685,1875,1214,1340,1738,1484,1072,1452,1030,998,891
BMW 5-Series,3679,2976,3690,2857,3242,6259,2521,2534,2606,2837,2775,2733
BMW 6-Series,161,315,149,96,150,80,65,51,31,20,13,8
BMW 7-Series,454,851,988,567,1071,744,760,762,625,611,627,763
BMW 8-Series,99,138,364,275,321,325,228,271,374,421,528,1066
BMW i3,255,350,359,331,438,473,304,385,467,359,918,214
BMW i8,23,47,91,87,145,280,101,90,68,64,55,51
BMW Z4,-,-,201,271,424,417,288,285,247,310,265,233
Buick Cascada,245,236,265,426,492,394,132,147,121,26,26,25
Buick LaCrosse,955,916,1031,808,933,746,457,512,420,152,158,153
Buick Regal,1121,1076,1211,970,1119,896,808,905,743,499,516,499
Cadillac ATS,172,165,185,121,139,111,52,58,48,28,28,27
Cadillac CT5,-,-,-,-,-,-,-,-,-,-,-,43
Cadillac CT6,720,691,777,605,698,559,535,599,492,749,778,749
Cadillac CTS,799,767,863,794,916,733,371,416,341,318,330,318
Cadillac XTS,1228,1179,1327,1742,2010,1608,378,423,348,350,363,350
Chevrolet Bolt,1420,1363,1533,1289,1487,1190,1589,1779,1462,1089,1129,1089
Chevrolet Camaro,3975,3816,4293,4041,4662,3730,4038,4522,3715,3779,3917,3778
Chevrolet Corvette,1297,1245,1401,1881,2171,1736,1568,1756,1442,1149,1193,1149
Chevrolet Cruze,7668,7361,8282,5254,6062,4850,1908,2136,1755,889,921,889
Chevrolet Impala,4362,4187,4710,4074,4701,3761,3170,3551,2917,3143,3259,3143
Chevrolet Malibu,11249,10799,12149,10067,-,9292,10668,11949,9815,11298,11717,11299
Chevrolet Sonic,1467,1408,1584,1308,1509,1207,707,791,650,1099,1140,1100
Chevrolet Spark,2113,2028,2282,2348,2710,2168,2176,2437,2002,3627,3762,3627
Chevrolet Volt,829,796,895,372,430,344,288,322,265,122,126,122
Chrysler 200,12,6,8,3,6,-,3,4,3,1,1,1
Chrysler 300,2078,2508,3704,1998,2665,2904,2578,2887,2371,1818,1885,1818
Dodge Avenger,-,-,-,-,1,-,-,-,-,-,-,-
Dodge Challenger,3230,3639,6562,4422,5748,5067,5931,6643,5457,4708,4882,4708
Dodge Charger,5210,6547,8858,6101,9296,9034,8572,9601,7887,8505,8820,8505
Dodge Dart,3,3,2,2,-,-,3,-,-,1,1,1
Dodge Viper,1,-,-,1,-,3,-,-,-,-,-,-
Fiat 124 Spider,160,139,214,329,349,337,226,253,208,142,147,142
Fiat 500,261,207,310,273,335,306,288,323,265,230,239,230
Fiat 500L,56,51,61,72,69,90,68,76,62,55,57,55
Ford C-Max,17,5,6,7,8,6,-,-,-,-,-,-
Ford Fiesta,5244,5035,5664,7206,8315,6652,4841,5422,4454,2409,2497,2409
Ford Focus,3404,3268,3677,693,799,639,-,-,-,-,-,-
Ford Fusion,13712,13163,14808,17767,20501,16400,12354,13837,11366,10582,10973,10582
Ford GT,28,27,30,17,19,15,171,192,157,14,14,14
Ford Mustang,5565,5342,6010,7028,8109,6488,5534,6198,5091,5639,5847,5638
Ford Taurus,2510,2409,2711,1268,1463,1171,340,381,313,283,292,282
Genesis G70,596,819,817,844,1447,1193,905,1015,871,1021,1153,1222
Genesis G80,473,533,475,632,708,532,520,544,446,625,820,787
Genesis G90,155,176,159,129,158,162,161,198,242,289,194,216
Honda Accord,18786,20254,25371,19239,23892,21893,24144,30558,20326,21689,21733,19682
Honda Civic,21553,22979,33653,28436,32800,29751,29167,34808,22337,23577,23676,22913
Honda Clarity FCV,1271,1281,1416,1079,906,1092,852,914,548,635,855,805
Honda CR-Z,-,1,-,1,-,-,-,-,-,-,-,-
Honda Fit,1405,1745,3238,3247,3918,3603,3378,4027,2707,2800,2737,2609
Honda Insight,1762,1587,2151,2028,2653,2367,2218,2477,1541,1614,1579,1709
Hyundai Accent,1825,1790,3166,2834,2659,2632,1830,1577,1702,1706,1596,2311
Hyundai Elantra,9942,10304,15866,16586,15733,16540,11579,14305,14614,13583,17322,18720
Hyundai Ioniq,955,1032,1323,1211,1471,1607,2891,2152,1504,2769,1495,1164
Hyundai Sonata,6212,6481,8827,8634,8599,8379,6976,8231,6029,6062,5931,7105
Hyundai Veloster,855,981,2055,1554,1020,1139,929,1125,728,834,917,712
Infiniti Q50,2249,2230,3785,2174,1857,2042,1895,1888,1635,2100,1967,2165
Infiniti Q60,406,327,571,425,314,359,396,384,336,595,500,430
Infiniti Q70,235,269,458,345,203,183,172,182,149,154,112,90
Jaguar F-Type,282,280,176,177,171,169,238,158,152,133,187,156
Jaguar XE,406,777,658,217,186,164,178,239,218,180,132,196
Jaguar XF,96,278,212,71,50,64,118,72,73,44,63,95
Jaguar XJ,172,109,128,93,105,74,116,74,59,65,77,-
Kia Cadenza,151,113,147,117,105,130,75,126,92,153,184,184
Kia Forte,5955,6953,8466,7336,10366,9337,9172,9420,6280,6980,7709,7709
Kia K900,26,36,40,43,29,35,31,39,32,17,32,32
Kia Optima,5853,7212,9603,8411,8300,11090,8732,9259,7206,7248,6568,6568
Kia Rio,1608,1822,2414,2082,2482,2038,2266,2752,1722,1939,1692,1692
Kia Soul,7101,8592,9860,10431,10713,8886,7358,8701,5985,6761,6713,6713
Kia Stinger,939,1034,1254,939,1410,1345,1092,1422,981,1354,1057,1057
Lexus ES,3144,3324,4922,3499,4741,4350,4960,5636,3320,3870,4545,5025
Lexus GS,298,263,394,301,260,214,305,342,193,222,321,265
Lexus IS,1075,1115,1694,1385,1533,1560,1331,1363,844,843,1006,1171
Lexus LC,90,89,141,122,137,89,96,84,80,91,86,114
Lexus LFA,3,-,-,-,-,-,-,-,-,-,-,-
Lexus LS,508,439,457,474,462,357,396,509,346,468,529,583
