Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Audi A8,284,242,261,187,190,166,114,164,109,245,465,536
BMW 6-Series,161,315,149,96,150,80,65,51,31,20,13,8
BMW 7-Series,454,851,988,567,1071,744,760,762,625,611,627,763
Genesis G90,155,176,159,129,158,162,161,198,242,289,194,216
Jaguar XJ,172,109,128,93,105,74,116,74,59,65,77,-
Lexus LS,508,439,457,474,462,357,396,509,346,468,529,583
Mercedes-Benz S-Class,886,1061,1204,958,958,1063,919,926,778,1211,1452,1087
Porsche Panamera,487,508,703,992,521,529,476,423,377,360,657,592
Porsche Taycan,-,-,-,-,-,-,-,-,-,-,-,130
Tesla Model S,875,800,2275,825,1025,1750,975,1050,1100,1235,1280,1235
