Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Buick Regal,1121,1076,1211,970,1119,896,808,905,743,499,516,499
Chevrolet Bolt,1420,1363,1533,1289,1487,1190,1589,1779,1462,1089,1129,1089
Chevrolet Malibu,11249,10799,12149,10067,-,9292,10668,11949,9815,11298,11717,11299
Chevrolet Volt,829,796,895,372,430,344,288,322,265,122,126,122
Chrysler 200,12,6,8,3,6,-,3,4,3,1,1,1
Dodge Avenger,-,-,-,-,1,-,-,-,-,-,-,-
Ford C-Max,17,5,6,7,8,6,-,-,-,-,-,-
Ford Fusion,13712,13163,14808,17767,20501,16400,12354,13837,11366,10582,10973,10582
Honda Accord,18786,20254,25371,19239,23892,21893,24144,30558,20326,21689,21733,19682
Honda Clarity FCV,1271,1281,1416,1079,906,1092,852,914,548,635,855,805
Honda Insight,1762,1587,2151,2028,2653,2367,2218,2477,1541,1614,1579,1709
Hyundai Ioniq,955,1032,1323,1211,1471,1607,2891,2152,1504,2769,1495,1164
Hyundai Sonata,6212,6481,8827,8634,8599,8379,6976,8231,6029,6062,5931,7105
Kia Optima,5853,7212,9603,8411,8300,11090,8732,9259,7206,7248,6568,6568
Kia Stinger,939,1034,1254,939,1410,1345,1092,1422,981,1354,1057,1057
Mazda 6,1619,1906,3396,2340,2133,1681,1483,1608,1119,1095,1514,1630
Nissan Altima,12189,16216,23075,16531,24218,16548,11236,22403,17553,13531,16551,19132
Nissan Leaf,717,654,1314,951,1216,1156,938,1117,1048,887,1140,1227
Subaru Legacy,2403,2683,3133,2991,2994,3222,3244,3121,2386,2670,2801,3415
Toyota Camry,23802,24267,33615,29227,36208,28889,27134,31986,23328,26602,25611,26309
Toyota Mirai,77,94,176,202,248,166,126,98,62,89,98,66
Toyota Prius Family,2987,3661,5410,4799,6615,5769,6592,8261,6164,6679,6723,6058
Volkswagen Arteon,-,-,-,78,245,275,252,329,304,366,317,283
Volkswagen CC,9,4,9,5,6,5,6,3,3,2,4,2
Volkswagen Passat,2899,2097,2762,1607,1294,797,628,572,314,211,228,714
