Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Chevrolet Cruze,7668,7361,8282,5254,6062,4850,1908,2136,1755,889,921,889
Chevrolet Sonic,1467,1408,1584,1308,1509,1207,707,791,650,1099,1140,1100
Chevrolet Spark,2113,2028,2282,2348,2710,2168,2176,2437,2002,3627,3762,3627
Dodge Dart,3,3,2,2,-,-,3,-,-,1,1,1
Fiat 500,261,207,310,273,335,306,288,323,265,230,239,230
Fiat 500L,56,51,61,72,69,90,68,76,62,55,57,55
Ford Fiesta,5244,5035,5664,7206,8315,6652,4841,5422,4454,2409,2497,2409
Ford Focus,3404,3268,3677,693,799,639,-,-,-,-,-,-
Honda Civic,21553,22979,33653,28436,32800,29751,29167,34808,22337,23577,23676,22913
Honda CR-Z,-,1,-,1,-,-,-,-,-,-,-,-
Honda Fit,1405,1745,3238,3247,3918,3603,3378,4027,2707,2800,2737,2609
Hyundai Accent,1825,1790,3166,2834,2659,2632,1830,1577,1702,1706,1596,2311
Hyundai Elantra,9942,10304,15866,16586,15733,16540,11579,14305,14614,13583,17322,18720
Hyundai Veloster,855,981,2055,1554,1020,1139,929,1125,728,834,917,712
Kia Forte,5955,6953,8466,7336,10366,9337,9172,9420,6280,6980,7709,7709
Kia Rio,1608,1822,2414,2082,2482,2038,2266,2752,1722,1939,1692,1692
Kia Soul,7101,8592,9860,10431,10713,8886,7358,8701,5985,6761,6713,6713
Mazda 3,4596,4610,6009,4351,4967,3990,3651,4825,3507,3481,3579,3175
Mini Cooper,1586,1681,2442,1741,1682,2066,1842,1967,1807,1786,1909,1614
Mitsubishi Lancer,-,-,3,-,-,-,-,-,-,-,-,-
Mitsubishi Mirage,1570,1792,2880,2004,2150,2505,3256,2824,2196,2135,1901,1753
Nissan Sentra,14088,17072,25633,13051,18831,21224,16365,11393,10493,13889,11546,11033
Nissan Versa,6649,7410,10933,6710,8116,8882,2702,2817,2914,3373,2825,3265
Smart ForTwo,83,58,90,85,85,74,56,74,-,-,-,-
Subaru Impreza,4183,4291,5305,4819,5532,5558,6225,7519,5861,5696,5686,5740
Toyota Corolla,25113,29016,24479,19679,25712,28869,30635,30121,20354,22378,24752,23742
Toyota Yaris,1323,2572,3999,3885,2953,1925,1370,831,333,883,910,932
Volkswagen Beetle,971,1457,2027,1566,1691,1686,2224,1916,1208,967,790,712
Volkswagen Golf,1774,2070,3942,3682,3834,3656,3330,3808,2917,2963,2753,2664
Volkswagen Jetta,6875,7109,9105,7745,9653,8486,8086,9592,8090,8582,8966,8164
