Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura ILX,805,1047,1289,1152,1351,1312,1224,1439,1078,1430,1253,1305
Chevrolet Cruze,7668,7361,8282,5254,6062,4850,1908,2136,1755,889,921,889
Dodge Dart,3,3,2,2,-,-,3,-,-,1,1,1
Ford Focus,3404,3268,3677,693,799,639,-,-,-,-,-,-
Honda Civic,21553,22979,33653,28436,32800,29751,29167,34808,22337,23577,23676,22913
Honda CR-Z,-,1,-,1,-,-,-,-,-,-,-,-
Hyundai Elantra,9942,10304,15866,16586,15733,16540,11579,14305,14614,13583,17322,18720
Kia Forte,5955,6953,8466,7336,10366,9337,9172,9420,6280,6980,7709,7709
Mazda 3,4596,4610,6009,4351,4967,3990,3651,4825,3507,3481,3579,3175
Mitsubishi Lancer,-,-,3,-,-,-,-,-,-,-,-,-
Nissan Sentra,14088,17072,25633,13051,18831,21224,16365,11393,10493,13889,11546,11033
Subaru Impreza,4183,4291,5305,4819,5532,5558,6225,7519,5861,5696,5686,5740
Toyota Corolla,25113,29016,24479,19679,25712,28869,30635,30121,20354,22378,24752,23742
Volkswagen Golf,1774,2070,3942,3682,3834,3656,3330,3808,2917,2963,2753,2664
