Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura NSX,31,22,26,23,30,19,10,25,16,15,11,10
Alfa Romeo 4C,7,16,18,27,14,9,12,13,11,6,6,6
Alfa Romeo Giulia,531,646,858,746,797,768,668,748,614,767,795,767
Audi A5,1651,1603,2224,1685,2251,2160,2017,2085,1646,1705,1805,2191
Audi R8,42,55,52,30,27,62,37,35,67,61,54,52
Audi TT,11,77,122,114,153,159,165,123,112,108,91,89
BMW 2-Series,578,738,746,581,253,717,662,617,863,690,805,765
BMW 8-Series,99,138,364,275,321,325,228,271,374,421,528,1066
BMW i8,23,47,91,87,145,280,101,90,68,64,55,51
BMW Z4,-,-,201,271,424,417,288,285,247,310,265,233
Buick Cascada,245,236,265,426,492,394,132,147,121,26,26,25
Chevrolet Camaro,3975,3816,4293,4041,4662,3730,4038,4522,3715,3779,3917,3778
Chevrolet Corvette,1297,1245,1401,1881,2171,1736,1568,1756,1442,1149,1193,1149
Dodge Challenger,3230,3639,6562,4422,5748,5067,5931,6643,5457,4708,4882,4708
Dodge Viper,1,-,-,1,-,3,-,-,-,-,-,-
Fiat 124 Spider,160,139,214,329,349,337,226,253,208,142,147,142
Ford GT,28,27,30,17,19,15,171,192,157,14,14,14
Ford Mustang,5565,5342,6010,7028,8109,6488,5534,6198,5091,5639,5847,5638
Honda CR-Z,-,1,-,1,-,-,-,-,-,-,-,-
Infiniti Q60,406,327,571,425,314,359,396,384,336,595,500,430
Jaguar F-Type,282,280,176,177,171,169,238,158,152,133,187,156
Lexus LC,90,89,141,122,137,89,96,84,80,91,86,114
Lexus LFA,3,-,-,-,-,-,-,-,-,-,-,-
Lexus RC,262,279,422,353,412,381,437,482,334,351,450,428
Mazda MX-5 Miata,347,456,727,782,843,759,1109,816,512,494,469,439
Mercedes-Benz AMG GT,83,134,427,340,340,374,325,338,347,361,534,445
Mercedes-Benz SL-Class,116,136,184,193,193,207,119,127,159,117,100,140
Mercedes-Benz SLC-Class,122,153,234,303,303,148,160,120,75,89,62,147
Nissan 370Z,173,211,263,177,198,230,226,214,161,214,159,158
Nissan GT-R,19,25,49,33,18,30,27,41,31,25,16,17
Porsche 718,263,163,239,612,456,422,438,339,271,239,247,191
Porsche 911,1101,990,803,655,613,458,408,382,911,1302,979,663
Subaru BRZ,259,242,318,287,231,203,167,158,111,112,115,131
Toyota 86 / FR-S,256,231,320,268,327,259,300,345,211,298,307,276
Toyota Supra,-,-,-,-,-,-,320,643,514,516,487,404
