Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Buick Envision,2508,2407,2708,2970,3427,2741,2661,2980,2448,2760,2861,2759
Chevrolet Equinox,29112,27947,31441,27839,32121,25697,26250,29400,24150,30323,31446,30323
Chevrolet Trax,8086,7762,8732,7082,8171,6537,12305,13782,11321,10879,11282,10878
Dodge Journey,7232,8258,8513,7082,7642,6704,5581,6250,5134,4047,4197,4047
Fiat 500X,274,219,262,257,272,200,195,218,179,146,151,146
Ford EcoSport,128,4067,4575,6990,8065,6452,5352,5995,4924,4627,4797,4627
Ford Escape,19968,19169,21565,23529,27149,21719,19967,22364,18370,15669,16249,15669
GMC Terrain,8343,8010,9011,8121,9371,7496,7585,8495,6978,9240,9581,9239
Honda CR-V,29152,26304,31824,28344,30893,30427,33656,44235,25904,33344,33987,36098
Honda HR-V,5974,7093,8582,7272,8565,7693,7877,9730,7528,10130,9461,9199
Hyundai Kona,5696,5686,7015,5154,7197,6341,6377,6385,5287,5514,5996,6678
Hyundai Nexo,35,5,20,19,19,21,21,34,23,17,38,15
Hyundai Tuscon,7444,9411,11976,8682,15616,12825,12629,13985,10293,11288,12008,11224
Hyundai Venue,-,-,-,-,-,-,-,-,-,-,290,787
Jeep Cherokee,15138,16020,18262,14681,17283,15826,17151,19209,15779,13845,14358,13845
Jeep Compass,10298,12063,14945,12697,14534,10976,11565,12953,10640,10952,11358,10952
Jeep Patriot,6,3,1,2,-,1,3,3,2,2,2,2
Jeep Renegade,4860,5909,7449,5740,6001,6077,6985,7823,6426,6459,6698,6459
Kia Niro,1706,2031,1609,1839,2557,2200,1935,2352,1733,1983,2238,2238
Kia Sportage,5963,6768,6467,6077,8011,6789,8573,9593,6863,7623,8125,8125
Mazda CX-3,971,1081,1201,1019,1188,1324,1523,2024,1449,1386,1654,1409
Mazda CX-30,-,-,-,-,-,-,-,-,-,-,31,868
Mazda CX-5,10652,13377,13465,9592,14057,13242,13391,15592,10332,10970,14139,15734
Mini Countryman,871,998,1327,880,1140,1169,985,1944,1698,1176,1158,696
Mitsubishi Eclipse Cross,1563,4291,3143,920,1012,1662,811,973,1484,1046,1336,1420
Mitsubishi Outlander,2346,3471,7923,2408,3840,5601,1656,1661,1565,1733,1784,3977
Mitsubishi Outlander PHEV,133,157,341,163,232,222,213,277,176,255,372,269
Mitsubishi Outlander Sport,3099,4049,5309,1468,2516,2327,2677,-,-,2203,-,2496
Nissan Juke,3,2,4,1,-,-,-,-,-,1,-,-
Nissan Kicks,3812,3563,5144,3503,6005,7236,6576,7058,4177,3362,3634,4123
Nissan Rogue,26113,31899,35802,24159,28600,28694,25955,41629,29449,27082,23734,27331
Subaru CrossTrek,8236,8257,9704,9319,11551,11392,12283,15860,11895,12137,10378,10140
Subaru Forester,13318,13133,14205,14782,16028,14753,14731,17076,13421,15910,16386,16436
Toyota C-HR,4102,4743,5676,3656,3994,3640,3591,4935,3440,3900,3950,3303
Toyota RAV4,24505,26149,33166,34139,43499,39152,39645,49481,34886,37499,44665,41282
Toyota Venza,-,-,1,1,-,-,-,2,5,-,-,-
Volkswagen Tiguan,6705,8145,11847,10564,10692,9378,8968,10958,8039,8333,8403,7931
