Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura RLX,63,84,31,26,71,126,134,118,122,126,81,72
Audi A6,809,1048,635,374,830,872,1216,1081,1171,843,693,964
Audi A7,211,273,165,107,238,250,263,233,253,292,240,334
BMW 5-Series,1752,2269,1374,889,1976,2075,1877,1663,553,3740,3072,4275
Cadillac CT6,560,725,439,149,330,347,148,132,142,49,40,56
Cadillac CTS,52,67,41,30,67,71,52,46,50,46,37,52
Cadillac XTS,154,199,120,48,106,111,85,75,82,74,61,85
Genesis G80,456,457,284,161,319,324,242,226,133,89,55,613
Infiniti Q70,37,48,29,3,6,6,2,2,2,1,1,2
Jaguar XF,67,60,62,29,64,67,70,62,68,67,55,77
Lexus ES,3037,3356,2854,1397,3105,3260,3868,4366,4541,4117,4290,5101
Lexus GS,227,224,173,122,272,285,269,330,262,200,111,85
Lincoln Continental,508,657,398,182,405,425,455,404,438,501,378,505
Lincoln MKZ,1131,1464,887,537,1194,1254,1285,1143,1238,791,583,1011
Mercedes-Benz E / CLS-Class,2293,2969,1798,1234,2743,2880,2271,2018,2187,2263,1859,2587
Tesla Model 3,19000,17500,8000,5400,12000,12600,31208,27740,30052,14506,11916,16578
Volvo 90-Series,102,136,116,91,178,263,332,676,718,146,239,198
