Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura ILX,935,1083,723,506,1039,1109,1230,1331,1377,1523,1141,1417
Acura TLX,1769,2263,1452,1024,1467,1439,1886,1973,1848,2365,2014,2285
Alfa Romeo Giulia,571,740,448,305,677,711,769,683,740,864,709,987
Audi A3,727,941,570,342,761,799,896,796,863,1094,899,1250
Audi A4,1283,1661,1006,795,1766,1854,2089,1857,2012,1356,1114,1549
Audi A5,1728,2237,1355,898,1996,2096,1304,1159,1255,1619,1330,1850
BMW 2-Series,576,745,451,685,1522,1598,1467,1299,16,1636,1344,1870
BMW 3-Series,3447,4463,2703,1388,3085,3239,3638,3222,1383,4292,3525,4905
BMW 4-Series,714,924,560,317,704,739,587,520,3430,1303,1070,1489
BMW i3,21,27,16,34,75,79,216,191,203,216,177,247
Cadillac ATS,15,20,12,8,18,19,6,5,6,2,2,2
Cadillac CT4,13,17,10,106,236,248,539,479,519,918,754,1049
Cadillac CT5,974,1262,764,464,1030,1082,1403,1247,1351,1732,1423,1980
Genesis G70,716,841,517,551,870,897,883,950,899,826,683,803
Infiniti Q50,1811,2344,1420,656,1457,1530,1356,1206,1306,1163,955,1329
Infiniti Q60,301,390,236,139,308,323,207,184,199,171,140,195
Jaguar XE,187,166,173,65,144,151,140,125,135,135,111,154
Lexus IS,741,1058,913,428,952,1000,886,1212,1531,1362,1228,2289
Lexus RC,289,299,169,140,312,328,341,372,389,406,347,416
Mercedes-Benz A-Class,1201,1555,942,739,1642,1724,1378,1225,1327,1214,998,1388
Mercedes-Benz C-Class,2227,2883,1746,-,2610,2741,2530,2249,2436,1922,1579,2196
Mercedes-Benz CLA-Class,1065,1379,835,1175,1172,1231,789,701,760,856,703,978
Volvo 60-Series,1021,1385,-,506,1241,1486,1546,1790,2341,1213,1736,1464
