Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Chevrolet Colorado,11018,10577,11899,10292,11876,9501,10413,11663,9580,8391,8102,8391
Chevrolet Silverado,37603,36099,40611,46300,53424,42739,51145,57283,47054,53782,55744,53785
Ford F-Series,70596,67772,76243,75981,87670,70136,70453,78907,64816,77033,79886,77033
Ford Ranger,3099,2975,3347,6786,7830,264,8622,9657,7932,10886,11287,10886
GMC Canyon,2288,2196,2471,3870,4466,3573,2446,2740,2251,2149,2228,2148
GMC Sierra,13338,12804,14405,18478,21322,17057,21776,24389,20034,22629,23465,22628
Honda Ridgeline,1962,2186,2804,2654,2888,2761,2749,3302,2327,2647,3297,3757
Jeep Gladiator,-,70,43,314,2584,4231,5307,5943,4882,5487,5690,5487
Nissan Frontier,6062,6291,7868,4258,7497,7346,5641,5888,3835,8031,4932,4720
Nissan Titan,3031,2722,3930,2489,3189,2665,2242,2589,2555,2134,2052,1916
Ram Pickup,34889,39950,45187,49106,62250,68098,53169,59550,48916,56825,58929,56825
Toyota Tacoma,16852,18533,22798,20375,22832,20476,20416,27010,18330,19725,20727,20727
Toyota Tundra,7159,7590,10351,8862,10657,9878,11088,12427,8050,8081,8816,8714
