Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Buick Enclave,2843,3680,2229,1342,2981,3130,3484,3097,3355,4162,3419,4757
Chevrolet Blazer,7192,9312,5640,3551,7890,8285,10339,9190,9956,7841,6441,8961
Chevrolet TrailBlazer,1,1,1,1206,2680,2814,3619,3217,3485,5825,4785,6658
Chevrolet Traverse,9775,12655,7665,4017,8926,9372,11082,9850,10671,14011,11509,16013
Dodge Durango,5783,7487,4535,2105,4678,4911,5595,4974,5388,4174,3428,4770
Ford Bronco Sport,-,-,-,-,-,-,-,-,-,-,22,5098
Ford Edge,9614,12446,7539,3789,8421,8842,9191,8170,8850,10387,9096,12541
Ford Explorer,18289,23678,14342,8071,17936,18832,20709,18408,19942,21079,18848,26081
Ford Flex,801,1037,628,303,674,708,189,168,182,41,118,-
GMC Acadia,5744,7437,4505,2744,6097,6402,6393,5682,6156,7212,5924,8242
Honda Passport,2846,3109,1878,1594,3536,3060,3291,4070,4281,4102,3456,4344
Honda Pilot,7765,9688,6445,6562,12227,12128,12036,12508,10643,11631,9126,13054
Hyundai Palisade,5432,6967,3934,3331,7866,8169,8404,7983,7741,7519,6436,8123
Hyundai Santa Fe,7148,7152,6358,5602,9549,8376,9296,9129,8566,9072,8765,12500
Jeep Grand Cherokee,16267,21060,12756,8339,18530,19457,19793,17594,19060,19205,15776,21949
Jeep Wrangler,12884,16680,10103,10163,22585,23714,18960,16853,18258,17242,14163,19705
Kia Sorento,5470,6875,5710,4286,7262,8193,8008,7809,6879,5832,2938,5415
Kia Telluride,4919,6754,5153,3087,2599,2864,4822,7588,8829,9687,8993,9824
Mazda CX-9,2552,2926,1741,1084,2421,2727,2335,2443,2183,2382,1972,2872
Nissan Murano,5094,6595,3994,2573,5717,6003,5219,4639,5026,4519,3712,5165
Nissan Pathfinder,5876,7608,4608,1595,3544,3722,3707,3295,3570,3729,3063,4262
Subaru Ascent,5606,5982,4036,3954,5740,6079,6075,6619,5744,5865,5231,6692
Subaru Outback,11379,12665,8571,8058,11382,10250,12158,14856,17023,16755,12921,17272
Toyota 4Runner,9342,10912,7818,5284,11742,12330,9310,9860,10229,12940,12416,16869
Toyota Highlander,17009,20174,10707,5613,12472,13096,18128,21795,22307,22262,21935,26778
Volkswagen Atlas,5004,6479,10842,2938,6528,6855,8482,7539,8168,6870,5644,7852
Volkswagen Atlas Sport,-,-,4069,-,-,-,-,-,-,3737,3070,4271
Volkswagen Touareg,1,1,1,-,-,-,-,-,-,-,-,-
